Country,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Garbage Disposal,Dirty and Untidy,Noise and Light Pollution,Water Pollution,Dissatisfaction with Spending Time in the City,Dissatisfaction with Green and Parks in the City
Moldova,52.83,54.33,64.62,65.09,52.88,62.98,43.75,32.69
Monaco,70.41,42.86,69.59,60.00,86.25,57.14,73.89,69.74
Mongolia,87.31,53.64,72.64,71.36,47.77,67.13,77.78,72.17
Montenegro,40.52,28.05,57.69,49.40,31.25,39.29,31.63,46.95
Montserrat,?,?,?,?,?,?,?,?
Morocco,63.32,45.76,67.04,61.59,54.94,54.47,59.28,60.04
Mozambique,47.73,78.41,85.87,81.82,48.91,71.59,63.04,67.05
Myanmar,83.19,65.75,87.68,82.14,51.74,73.93,76.04,66.55
Namibia,31.58,34.21,35.42,35.26,45.51,45.27,28.29,48.03
Nauru,?,?,?,?,?,?,?,?
Nepal,75.74,64.27,75.26,72.82,54.45,75.60,68.33,68.38
Netherlands,21.18,7.92,21.09,22.63,31.10,16.96,12.20,17.93
New Caledonia,55.00,25.00,70.00,70.00,45.00,55.00,50.00,30.00
New Zealand,19.07,20.41,27.79,30.31,39.82,40.06,18.48,19.99
Nicaragua,39.42,50.93,69.79,71.15,63.46,73.08,48.08,56.73
Niger,58.33,58.33,50.00,58.33,33.33,66.67,41.67,41.67
Nigeria,79.80,64.04,73.64,72.97,71.24,79.55,73.65,67.86
Norfolk Island,?,?,?,?,?,?,?,?
North Korea,44.44,52.78,52.78,41.67,33.33,55.56,55.56,50.00
North Macedonia,80.31,42.06,71.24,73.61,53.66,50.50,71.23,65.86
Northern Mariana Islands,11.11,44.44,58.33,44.44,41.67,58.33,19.44,16.67
Norway,15.99,6.59,16.82,24.38,30.24,15.51,10.59,20.20
Oman,34.09,31.48,32.91,23.48,36.89,37.83,27.11,32.10
Pakistan,64.36,56.17,65.75,60.23,58.82,69.92,57.10,51.37
Palau,0.00,50.00,50.00,41.67,0.00,8.33,0.00,0.00
Palestine,53.12,44.57,60.42,63.54,54.35,53.26,52.88,71.74
Panama,42.45,33.71,67.90,63.07,60.00,56.53,45.16,48.82
Papua New Guinea,63.19,62.50,81.94,77.50,57.89,76.28,66.25,73.03
Paraguay,56.88,43.57,70.59,75.00,52.78,66.43,50.66,52.86
Peru,76.60,61.96,64.44,70.93,67.91,76.31,64.34,54.66
Philippines,63.98,46.19,65.25,62.26,59.49,73.83,61.25,54.73
Poland,61.74,33.52,39.25,40.26,49.48,38.08,50.58,36.10
Portugal,23.65,17.03,29.40,33.29,36.27,28.08,17.20,27.82
Puerto Rico,35.56,32.67,38.73,54.05,53.17,53.42,40.54,58.11
Qatar,62.74,36.80,33.33,33.16,55.90,44.68,49.50,48.43
Republic of the Congo,62.50,87.50,100.00,75.00,87.50,62.50,50.00,25.00
Reunion,20.00,50.00,56.25,43.75,12.50,25.00,20.00,31.25
Romania,56.52,37.88,54.84,52.33,46.14,45.92,45.05,46.90
Russia,56.97,42.31,51.34,47.64,48.05,50.61,45.92,37.98
Rwanda,38.33,34.62,20.00,11.67,21.67,42.86,28.57,35.00
Saint Helena,0.00,50.00,25.00,50.00,0.00,25.00,0.00,0.00
Saint Kitts And Nevis,?,?,?,?,?,?,?,?
Saint Lucia,32.14,29.17,70.83,78.57,50.00,42.86,32.14,37.50
Saint Vincent And The Grenadines,?,?,?,?,?,?,?,?
Saint-Pierre And Miquelon,50.00,50.00,100.00,0.00,50.00,0.00,75.00,50.00
Samoa,29.17,40.00,55.00,45.00,20.00,40.00,30.00,35.00
San Marino,6.82,0.00,50.00,25.00,75.00,0.00,0.00,25.00
Sao Tome And Principe,50.00,50.00,50.00,100.00,50.00,75.00,75.00,50.00
Saudi Arabia,63.25,35.27,50.48,49.53,53.59,46.93,52.43,63.60
Senegal,88.71,70.37,82.41,83.33,58.33,80.56,78.57,86.11
Serbia,65.05,36.26,60.69,62.68,50.77,51.56,46.73,44.75
Seychelles,21.88,35.94,37.50,35.94,34.38,35.94,32.81,42.19
Sierra Leone,75.00,100.00,100.00,100.00,75.00,100.00,100.00,100.00
Singapore,34.28,14.74,23.71,19.21,50.32,25.00,26.36,20.83
Sint Maarten,70.83,55.00,75.00,62.50,54.17,75.00,65.00,75.00
Slovakia,35.13,13.32,34.67,43.25,41.30,27.04,26.77,41.67
Slovenia,25.72,4.49,12.82,13.78,37.26,16.99,11.81,13.62
Solomon Islands,60.94,55.88,86.76,79.41,64.71,84.72,72.06,73.33
Somalia,46.59,50.00,67.86,71.00,43.75,60.23,57.61,75.00
South Africa,48.34,36.50,45.20,60.13,43.63,59.10,45.32,49.15
South Korea,68.63,28.28,37.54,37.02,49.82,37.86,56.58,39.45
South Sudan,31.25,50.00,75.00,50.00,33.33,75.00,58.33,75.00
Spain,30.21,26.35,27.37,34.85,46.68,29.77,24.52,30.59
Sri Lanka,53.34,35.30,58.59,48.12,50.51,56.94,48.24,41.49
Sudan,53.57,54.55,85.71,76.14,55.68,70.45,54.55,59.21
Suriname,39.29,35.71,50.00,64.29,33.93,57.14,36.54,59.62
Swaziland,12.50,40.00,57.50,55.00,17.50,47.50,12.50,47.50
Sweden,14.66,7.85,17.03,24.27,26.30,15.28,12.01,15.81
Switzerland,20.06,9.82,18.33,17.89,37.31,18.72,15.76,23.41
Syria,66.67,56.40,70.51,68.02,59.30,58.93,64.29,63.69
Taiwan,60.87,45.53,34.53,43.75,58.75,57.75,53.07,46.63
Tajikistan,47.73,41.67,42.50,27.08,31.82,47.73,25.00,27.50
Tanzania,45.24,58.97,73.57,57.05,51.97,68.92,52.98,60.29
Thailand,70.51,51.10,58.81,61.95,56.99,68.44,63.54,57.65
Timor-Leste,36.11,62.50,81.25,75.00,53.12,64.29,56.25,46.88
Togo,70.00,75.00,62.50,75.00,68.75,81.25,62.50,62.50
Tonga,?,?,?,?,?,?,?,?
Trinidad And Tobago,54.76,46.09,61.90,70.63,55.65,62.70,57.38,60.25
Tunisia,59.72,51.34,71.78,70.76,48.62,57.34,57.37,68.52
Turkey,62.25,46.61,41.59,50.39,54.35,52.03,51.30,56.26
Turkmenistan,41.67,29.17,22.92,18.75,22.92,31.82,25.00,25.00
Turks And Caicos Islands,12.50,37.50,37.50,62.50,62.50,50.00,50.00,75.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,70.27,62.50,80.65,72.79,57.35,72.79,66.18,64.39
Ukraine,55.96,55.30,58.39,54.20,43.21,58.28,44.44,33.18
United Arab Emirates,48.66,33.28,32.30,26.53,50.87,38.79,37.48,41.53
United Kingdom,37.35,24.63,39.46,46.39,46.49,30.56,29.82,25.25
United States,28.49,28.75,29.17,39.69,46.94,43.96,25.03,29.50
Uruguay,29.01,27.40,65.78,61.67,48.30,45.71,33.02,35.10
Us Virgin Islands,0.00,25.00,39.29,35.71,14.29,14.29,10.71,32.14
Uzbekistan,52.91,33.72,54.88,47.09,50.00,50.61,46.25,37.80
Vanuatu,25.00,12.50,56.25,50.00,65.00,70.00,25.00,20.83
Venezuela,59.68,71.26,82.01,78.78,46.43,75.00,59.68,59.23
Vietnam,78.06,56.52,75.94,71.07,64.76,73.02,69.67,58.04
Wallis And Futuna,?,?,?,?,?,?,?,?
Western Sahara,?,?,?,?,?,?,?,?
Yemen,69.64,71.43,85.71,82.14,50.00,67.86,69.64,82.69
Zambia,55.88,68.42,84.21,78.95,72.22,94.74,79.17,61.84
Zimbabwe,58.02,71.05,76.36,74.56,61.82,83.64,62.27,58.33
